id	trial	item	anchor	answer	example
19_12_05_132053.txt_01	6	days	low	higher	Mars
19_12_05_132053.txt_01	7	length	low	higher	Katerina
19_12_05_132053.txt_01	8	temperature	high	lower	listopad
19_12_05_132053.txt_01	9	salary	low	higher	strojvedouci
19_12_05_132053.txt_01	10	unemployment	high	lower	Jihocesky
19_12_16_163254.txt_01	1	age	high	lower	Paroubek
19_12_16_163254.txt_01	2	unemployment	low	higher	Kr·lovehradeck˝
19_12_16_163254.txt_01	3	temperature	high	lower	leden
19_12_16_163254.txt_01	4	length	low	higher	Nikola
19_12_16_163254.txt_01	5	population	low	higher	NÏmecko
19_12_16_163254.txt_01	6	days	high	higher	Venuöe
19_12_16_163254.txt_01	7	salary	high	lower	StrojvedoucÌ
19_12_16_163254.txt_01	8	price	low	higher	äkoda auto
19_12_16_163254.txt_01	9	distance	low	higher	Pa¯Ìû
19_12_16_163254.txt_01	10	weight	high	lower	Gepard
19_11_22_131437.txt_02	1	weight	low	higher	klokan
19_11_22_131437.txt_02	2	salary	low	higher	pokladnÌ
19_11_22_131437.txt_02	3	distance	low	higher	madrid
19_11_22_131437.txt_02	4	population	low	higher	NÏmecko
19_11_22_131437.txt_02	5	length	high	lower	v·clav
19_11_22_131437.txt_02	6	age	low	higher	Dominik Feri
19_11_22_131437.txt_02	7	price	low	higher	Opel
19_11_22_131437.txt_02	8	days	low	higher	Merkur
19_11_22_131437.txt_02	9	unemployment	low	higher	Pardubick˝
19_11_22_131437.txt_02	10	temperature	low	higher	Leden
19_11_22_143045.txt_02	1	age	low	higher	Topol·nek
19_11_22_143045.txt_02	2	unemployment	high	lower	⁄steck˝
19_11_22_143045.txt_02	3	weight	high	lower	Lev
19_11_22_143045.txt_02	4	temperature	high	higher	Srpen
19_11_22_143045.txt_02	5	days	low	higher	ZemÏ
19_11_22_143045.txt_02	6	distance	low	higher	ÿÌm
19_11_22_143045.txt_02	7	salary	low	higher	UËitel
19_11_22_143045.txt_02	8	price	high	lower	äkoda
19_11_22_143045.txt_02	9	population	low	higher	It·lie
19_11_22_143045.txt_02	10	length	high	lower	Jana
19_11_22_155921.txt_02	1	unemployment	high	lower	St¯edoËesk˝
19_11_22_155921.txt_02	2	weight	low	higher	liöka
19_11_22_155921.txt_02	3	distance	low	higher	Pa¯Ìû
19_11_22_155921.txt_02	4	temperature	low	higher	KvÏten
19_11_22_155921.txt_02	5	price	high	lower	äkoda
19_11_22_155921.txt_02	6	days	low	higher	Jupiter
19_11_22_155921.txt_02	7	age	high	lower	nezn·m
19_11_22_155921.txt_02	8	salary	low	higher	¯idiË tramvaje
19_11_22_155921.txt_02	9	population	high	lower	It·lie
19_11_22_155921.txt_02	10	length	low	higher	Kate¯ina
19_11_26_131711.txt_02	1	weight	high	lower	k˘Ú
19_11_26_131711.txt_02	2	days	high	lower	ZemÏ
19_11_26_131711.txt_02	3	price	low	higher	bmw
19_11_26_131711.txt_02	4	distance	high	lower	Pa¯Ìû
19_11_26_131711.txt_02	5	temperature	high	lower	listopad
19_11_26_131711.txt_02	6	population	low	higher	»esk· republika
19_11_26_131711.txt_02	7	age	high	lower	Dominik Feri
19_11_26_131711.txt_02	8	length	low	higher	Tom·ö
19_11_26_131711.txt_02	9	unemployment	low	higher	St¯edoËesk˝
19_11_26_131711.txt_02	10	salary	high	lower	uËitel
19_11_26_142417.txt_02	1	weight	high	lower	zebra
19_11_26_142417.txt_02	2	salary	low	higher	doktor
19_11_26_142417.txt_02	3	length	high	lower	Anna
19_11_26_142417.txt_02	4	temperature	high	lower	srpen
19_11_26_142417.txt_02	5	price	high	lower	honda
19_11_26_142417.txt_02	6	distance	high	higher	berlÌn
19_11_26_142417.txt_02	7	age	high	lower	kalousek
19_11_26_142417.txt_02	8	days	high	lower	mars
19_11_26_142417.txt_02	9	population	low	higher	francie
19_11_26_142417.txt_02	10	unemployment	low	higher	st¯edoËesk˝
19_11_26_163103.txt_02	1	length	high	lower	Dan
19_11_26_163103.txt_02	2	age	high	lower	Dominik Feri
19_11_26_163103.txt_02	3	days	high	higher	jupiter
19_11_26_163103.txt_02	4	temperature	high	lower	Duben
19_11_26_163103.txt_02	5	price	high	lower	ökoda
19_11_26_163103.txt_02	6	weight	low	higher	medvÏd
19_11_26_163103.txt_02	7	population	high	higher	NÏmecko
19_11_26_163103.txt_02	8	unemployment	high	lower	St¯edoËesk˝
19_11_26_163103.txt_02	9	distance	low	higher	Budapeöù
19_11_26_163103.txt_02	10	salary	low	higher	odborn˝ referent
19_11_27_132145.txt_02	1	unemployment	high	lower	St¯edoËesk˝
19_11_27_132145.txt_02	2	age	low	higher	Miroslav Kalousek
19_11_27_132145.txt_02	3	distance	low	higher	BerlÌn
19_11_27_132145.txt_02	4	population	low	higher	NÏmecko
19_11_27_132145.txt_02	5	length	low	higher	Nov·k
19_11_27_132145.txt_02	6	weight	high	higher	Slon
19_11_27_132145.txt_02	7	days	low	lower	ZemÏ
19_11_27_132145.txt_02	8	temperature	low	higher	»ervenec
19_11_27_132145.txt_02	9	salary	high	lower	UklÌzeËka
19_11_27_132145.txt_02	10	price	low	higher	Range Rover
19_11_27_145625.txt_02	1	unemployment	low	higher	Jihomoravsk˝
19_11_27_145625.txt_02	2	weight	low	higher	lev
19_11_27_145625.txt_02	3	temperature	low	higher	Ëervenec
19_11_27_145625.txt_02	4	price	low	higher	äkoda
19_11_27_145625.txt_02	5	age	low	higher	MarkÈte Adamov· Pek·rov·
19_11_27_145625.txt_02	6	days	high	lower	ZemÏ
19_11_27_145625.txt_02	7	salary	high	lower	UËitel
19_11_27_145625.txt_02	8	length	low	higher	Lucie
19_11_27_145625.txt_02	9	distance	high	higher	Moskva
19_11_27_145625.txt_02	10	population	low	higher	NÏmecko
19_11_27_162426.txt_02	1	unemployment	high	lower	St¯edoËesk˝
19_11_27_162426.txt_02	2	temperature	high	lower	Listopad
19_11_27_162426.txt_02	3	population	high	lower	Francie
19_11_27_162426.txt_02	4	weight	low	higher	Kapybara
19_11_27_162426.txt_02	5	days	low	higher	Saturn
19_11_27_162426.txt_02	6	price	high	lower	äkoda
19_11_27_162426.txt_02	7	distance	low	higher	Amsterdam
19_11_27_162426.txt_02	8	salary	high	lower	Kucha¯
19_11_27_162426.txt_02	9	age	high	lower	Dominik Feri
19_11_27_162426.txt_02	10	length	high	lower	Jakub
19_11_28_125606.txt_02	1	population	high	lower	»esk· Republika
19_11_28_125606.txt_02	2	unemployment	low	higher	St¯edoËesk˝ kraj
19_11_28_125606.txt_02	3	temperature	low	higher	Leden
19_11_28_125606.txt_02	4	salary	high	lower	UËitel
19_11_28_125606.txt_02	5	price	high	lower	äkoda
19_11_28_125606.txt_02	6	age	low	higher	Kalousek
19_11_28_125606.txt_02	7	length	high	lower	Michael
19_11_28_125606.txt_02	8	distance	low	higher	VÌdeÚ
19_11_28_125606.txt_02	9	weight	low	higher	Hroch
19_11_28_125606.txt_02	10	days	low	higher	ZemÏ
19_11_29_130315.txt_02	1	temperature	high	lower	Srpen
19_11_29_130315.txt_02	2	population	low	higher	Francie
19_11_29_130315.txt_02	3	age	high	lower	Miroslav Topol·nek
19_11_29_130315.txt_02	4	distance	high	higher	Pa¯Ìû
19_11_29_130315.txt_02	5	price	high	lower	äkoda Octavia
19_11_29_130315.txt_02	6	salary	high	lower	»ÌönÌk
19_11_29_130315.txt_02	7	unemployment	high	lower	PlzeÚsk˝ kraj
19_11_29_130315.txt_02	8	weight	high	lower	K˘Ú P¯evalskÈho
19_11_29_130315.txt_02	9	length	high	lower	Anna
19_11_29_130315.txt_02	10	days	high	higher	Neptun
19_11_29_145308.txt_02	1	distance	low	higher	VÌdeÚ
19_11_29_145308.txt_02	2	price	low	higher	Toyota
19_11_29_145308.txt_02	3	temperature	high	lower	duben
19_11_29_145308.txt_02	4	days	high	higher	jupiter
19_11_29_145308.txt_02	5	weight	high	lower	slon
19_11_29_145308.txt_02	6	age	high	lower	Miroslav Kalousek
19_11_29_145308.txt_02	7	unemployment	high	lower	⁄steck˝
19_11_29_145308.txt_02	8	salary	high	lower	doktor
19_11_29_145308.txt_02	9	length	high	lower	Marie
19_11_29_145308.txt_02	10	population	low	higher	Rakousko
19_12_02_162107.txt_02	1	days	low	higher	Saturn
19_12_02_162107.txt_02	2	price	high	lower	Volvo
19_12_02_162107.txt_02	3	salary	low	higher	Doktor
19_12_02_162107.txt_02	4	distance	high	higher	ÿÌm
19_12_02_162107.txt_02	5	length	high	lower	Alena
19_12_02_162107.txt_02	6	weight	low	higher	Vydra
19_12_02_162107.txt_02	7	population	low	higher	Lucembursko
19_12_02_162107.txt_02	8	temperature	high	lower	Z·¯Ì
19_12_02_162107.txt_02	9	unemployment	low	higher	St¯edoËesk˝
19_12_02_162107.txt_02	10	age	high	lower	Ji¯Ì Bartoö
19_12_03_112723.txt_02	1	age	low	higher	kalousek
19_12_03_112723.txt_02	2	unemployment	low	higher	ZlÌnsk˝
19_12_03_112723.txt_02	3	population	low	higher	Francie
19_12_03_112723.txt_02	4	price	low	higher	Audi
19_12_03_112723.txt_02	5	days	high	lower	Neptun
19_12_03_112723.txt_02	6	length	high	lower	Am·lie
19_12_03_112723.txt_02	7	temperature	high	lower	Leden
19_12_03_112723.txt_02	8	weight	high	lower	Gorila
19_12_03_112723.txt_02	9	salary	low	higher	¯idiË
19_12_03_112723.txt_02	10	distance	high	lower	VÌdeÚ
19_12_03_131845.txt_02	1	salary	high	lower	uËitel
19_12_03_131845.txt_02	2	days	high	lower	Merkur
19_12_03_131845.txt_02	3	age	low	higher	Topol·nek
19_12_03_131845.txt_02	4	population	low	higher	Rakousko
19_12_03_131845.txt_02	5	distance	high	higher	VÌdeÚ
19_12_03_131845.txt_02	6	unemployment	low	higher	Pardubick˝
19_12_03_131845.txt_02	7	temperature	low	higher	Leden
19_12_03_131845.txt_02	8	price	high	lower	äkoda
19_12_03_131845.txt_02	9	weight	low	higher	slon
19_12_03_131845.txt_02	10	length	high	lower	Anna
19_12_04_132446.txt_02	1	salary	low	higher	⁄ËetnÌ
19_12_04_132446.txt_02	2	temperature	high	lower	Leden
19_12_04_132446.txt_02	3	population	low	higher	NÏmecko
19_12_04_132446.txt_02	4	days	low	higher	Saturn
19_12_04_132446.txt_02	5	weight	low	higher	Lev
19_12_04_132446.txt_02	6	distance	low	higher	BerlÌn
19_12_04_132446.txt_02	7	price	low	higher	BMW
19_12_04_132446.txt_02	8	age	low	higher	Sobotka
19_12_04_132446.txt_02	9	unemployment	low	higher	JihoËesk˝ kraj
19_12_04_132446.txt_02	10	length	high	lower	Jan
19_12_04_142924.txt_02	1	length	high	lower	Jan
19_12_04_142924.txt_02	2	population	high	lower	NÏmecko
19_12_04_142924.txt_02	3	distance	low	higher	Moskva
19_12_04_142924.txt_02	4	weight	low	higher	Slon
19_12_04_142924.txt_02	5	days	low	higher	ZemÏ
19_12_04_142924.txt_02	6	price	high	lower	Hyundai
19_12_04_142924.txt_02	7	unemployment	low	higher	⁄steck˝
19_12_04_142924.txt_02	8	age	low	higher	Dominik Feri
19_12_04_142924.txt_02	9	temperature	high	lower	⁄nor
19_12_04_142924.txt_02	10	salary	high	lower	Pr·vnÌk
19_12_04_162327.txt_02	1	weight	high	lower	Slon
19_12_04_162327.txt_02	2	unemployment	high	lower	Olomouck˝ kraj
19_12_04_162327.txt_02	3	population	high	lower	NÏmecko
19_12_04_162327.txt_02	4	salary	high	lower	LÈka¯
19_12_04_162327.txt_02	5	age	low	higher	Tomio Okamura
19_12_04_162327.txt_02	6	distance	high	higher	BerlÌn
19_12_04_162327.txt_02	7	length	high	lower	Marcela
19_12_04_162327.txt_02	8	days	high	lower	Venuöe
19_12_04_162327.txt_02	9	temperature	high	lower	Leden
19_12_04_162327.txt_02	10	price	low	lower	äkoda
19_12_05_115054.txt_02	1	salary	low	higher	dÏlnÌk
19_12_05_115054.txt_02	2	weight	high	higher	opice
19_12_05_115054.txt_02	3	age	low	higher	Ji¯Ì Bartoö
19_12_05_115054.txt_02	4	temperature	high	lower	prosinec
19_12_05_115054.txt_02	5	distance	high	lower	VÌdeÚ
19_12_05_115054.txt_02	6	length	low	higher	V·clav
19_12_05_115054.txt_02	7	price	low	higher	äkoda
19_12_05_115054.txt_02	8	days	low	higher	Jupiter
19_12_05_115054.txt_02	9	population	high	lower	NÏmecko
19_12_05_115054.txt_02	10	unemployment	low	higher	Moravskoslezsk˝
19_12_05_132059.txt_02	1	distance	high	lower	VÌdeÚ
19_12_05_132059.txt_02	2	weight	high	lower	Pt·k
19_12_05_132059.txt_02	3	temperature	low	higher	Listopad
19_12_05_132059.txt_02	4	salary	low	lower	Psycholog
19_12_05_132059.txt_02	5	days	high	higher	Merkur
19_12_05_132059.txt_02	6	length	low	higher	Kate¯ina
19_12_05_132059.txt_02	7	price	low	higher	äkoda
19_12_05_132059.txt_02	8	age	high	higher	Babiö
19_12_05_132059.txt_02	9	population	high	higher	NÏmecko
19_12_05_132059.txt_02	10	unemployment	high	lower	Libereck˝
19_12_09_162716.txt_02	1	weight	high	lower	opice
19_12_09_162716.txt_02	2	length	high	lower	Nov·k
19_12_09_162716.txt_02	3	unemployment	low	higher	Pardubick˝
19_12_09_162716.txt_02	4	distance	high	higher	It·lie
19_12_09_162716.txt_02	5	days	low	higher	Mars
19_12_09_162716.txt_02	6	age	high	lower	Junek
19_12_09_162716.txt_02	7	salary	high	lower	uËitel
19_12_09_162716.txt_02	8	price	low	higher	volvo
19_12_09_162716.txt_02	9	temperature	high	lower	duben
19_12_09_162716.txt_02	10	population	low	higher	Francie
19_12_10_132928.txt_02	1	age	high	lower	55rr
19_12_10_132928.txt_02	2	weight	low	higher	slon
19_12_10_132928.txt_02	3	days	low	higher	zemÏ
19_12_10_132928.txt_02	4	salary	low	higher	popel·¯
19_12_10_132928.txt_02	5	unemployment	high	lower	Praha
19_12_10_132928.txt_02	6	population	high	lower	NÏmecko
19_12_10_132928.txt_02	7	distance	low	higher	Bratislava
19_12_10_132928.txt_02	8	price	high	lower	Maseratti
19_12_10_132928.txt_02	9	temperature	low	higher	leden
19_12_10_132928.txt_02	10	length	low	higher	Jan
19_12_10_142629.txt_02	1	distance	high	lower	VÌdeÚ
19_12_10_142629.txt_02	2	weight	low	higher	opice
19_12_10_142629.txt_02	3	unemployment	high	lower	Jihomoravsk˝ kraj
19_12_10_142629.txt_02	4	price	low	higher	äkoda
19_12_10_142629.txt_02	5	age	low	higher	Dominik Feri
19_12_10_142629.txt_02	6	length	high	lower	Jana
19_12_10_142629.txt_02	7	temperature	high	lower	duben
19_12_10_142629.txt_02	8	population	high	higher	NÏmecko
19_12_10_142629.txt_02	9	days	low	higher	Saturn
19_12_10_142629.txt_02	10	salary	high	lower	uËitel
19_12_11_132529.txt_02	1	days	low	higher	Saturn
19_12_11_132529.txt_02	2	unemployment	high	higher	⁄steck˝
19_12_11_132529.txt_02	3	temperature	high	lower	Prosinec
19_12_11_132529.txt_02	4	population	high	lower	Polsko
19_12_11_132529.txt_02	5	length	high	lower	David
19_12_11_132529.txt_02	6	salary	low	higher	Program·tor
19_12_11_132529.txt_02	7	price	low	higher	äkoda
19_12_11_132529.txt_02	8	distance	low	higher	Bratislava
19_12_11_132529.txt_02	9	age	high	lower	Ivan Bartoö
19_12_11_132529.txt_02	10	weight	high	lower	Slon
19_12_11_143935.txt_02	1	temperature	low	higher	b¯ezen
19_12_11_143935.txt_02	2	distance	high	lower	Berlin
19_12_11_143935.txt_02	3	unemployment	low	higher	Karlovarsk˝ kraj
19_12_11_143935.txt_02	4	age	high	lower	MarkÈta Adamov· Pekarov·
19_12_11_143935.txt_02	5	price	high	lower	äkoda
19_12_11_143935.txt_02	6	population	low	higher	»esk· republika
19_12_11_143935.txt_02	7	salary	high	lower	LÈka¯
19_12_11_143935.txt_02	8	weight	high	lower	Vlk
19_12_11_143935.txt_02	9	days	high	lower	Venuöe
19_12_11_143935.txt_02	10	length	low	higher	Julie
19_12_12_132736.txt_02	1	weight	low	higher	slon
19_12_12_132736.txt_02	2	temperature	high	higher	Ëervenec
19_12_12_132736.txt_02	3	age	high	lower	tomio okamura
19_12_12_132736.txt_02	4	distance	high	higher	Lond˝n
19_12_12_132736.txt_02	5	unemployment	low	higher	VysoËina
19_12_12_132736.txt_02	6	length	high	lower	MatÏj
19_12_12_132736.txt_02	7	population	high	lower	Slovensko
19_12_12_132736.txt_02	8	salary	high	lower	uËitel
19_12_12_132736.txt_02	9	price	low	higher	Audi
19_12_12_132736.txt_02	10	days	low	higher	Mars
19_12_13_101841.txt_02	1	price	high	lower	Audi
19_12_13_101841.txt_02	2	salary	low	higher	uËitel
19_12_13_101841.txt_02	3	days	low	higher	Saturn
19_12_13_101841.txt_02	4	distance	high	lower	VÌdeÚ
19_12_13_101841.txt_02	5	weight	low	higher	slon
19_12_13_101841.txt_02	6	temperature	high	lower	z·¯Ì
19_12_13_101841.txt_02	7	unemployment	low	higher	⁄steck˝
19_12_13_101841.txt_02	8	population	high	lower	Francie
19_12_13_101841.txt_02	9	length	high	lower	Kl·ra
19_12_13_101841.txt_02	10	age	low	higher	Dominik Feri
19_12_13_133959.txt_02	1	price	low	higher	ökoda octavia
19_12_13_133959.txt_02	2	weight	high	lower	opice
19_12_13_133959.txt_02	3	temperature	high	lower	Ëerven
19_12_13_133959.txt_02	4	population	low	higher	Belgie
19_12_13_133959.txt_02	5	days	low	higher	Mars
19_12_13_133959.txt_02	6	unemployment	high	lower	St¯edoËesk˝
19_12_13_133959.txt_02	7	length	high	lower	Milan
19_12_13_133959.txt_02	8	distance	high	lower	BerlÌn
19_12_13_133959.txt_02	9	age	low	higher	Andrej Babiö
19_12_13_133959.txt_02	10	salary	high	lower	uklÌzeËka
19_12_13_142803.txt_02	1	temperature	low	higher	b¯ezen
19_12_13_142803.txt_02	2	price	low	higher	ökoda
19_12_13_142803.txt_02	3	salary	high	lower	pr·vnÌk
19_12_13_142803.txt_02	4	age	high	higher	Feri
19_12_13_142803.txt_02	5	distance	high	lower	BerlÌn
19_12_13_142803.txt_02	6	weight	low	higher	medvÏd
19_12_13_142803.txt_02	7	population	high	higher	NÏmecko
19_12_13_142803.txt_02	8	length	low	higher	Pavel
19_12_13_142803.txt_02	9	unemployment	high	lower	st¯edoËesk˝
19_12_13_142803.txt_02	10	days	high	lower	Saturn
19_12_16_145116.txt_02	1	days	high	lower	Neptun
19_12_16_145116.txt_02	2	weight	low	higher	panda
19_12_16_145116.txt_02	3	age	high	lower	Michael Canov
19_12_16_145116.txt_02	4	population	low	higher	Francie
19_12_16_145116.txt_02	5	salary	low	higher	novin·¯
19_12_16_145116.txt_02	6	distance	low	lower	BerlÌn
19_12_16_145116.txt_02	7	temperature	high	lower	listopad
19_12_16_145116.txt_02	8	unemployment	low	higher	Libereck˝
19_12_16_145116.txt_02	9	price	high	lower	äkoda
19_12_16_145116.txt_02	10	length	high	higher	Martina
19_12_16_161622.txt_02	1	length	high	lower	Jan
19_12_16_161622.txt_02	2	price	high	lower	ökoda
19_12_16_161622.txt_02	3	age	high	lower	Babiö
19_12_16_161622.txt_02	4	temperature	low	higher	Ëervenec
19_12_16_161622.txt_02	5	salary	high	lower	hasiË
19_12_16_161622.txt_02	6	distance	high	lower	BerlÌn
19_12_16_161622.txt_02	7	weight	high	lower	öimpanz
19_12_16_161622.txt_02	8	days	high	lower	jupiter
19_12_16_161622.txt_02	9	unemployment	high	lower	Kr·lovehradeck˝
19_12_16_161622.txt_02	10	population	high	lower	polsko
19_12_17_100945.txt_02	1	temperature	low	higher	srpen
19_12_17_100945.txt_02	2	age	low	higher	kalousek
19_12_17_100945.txt_02	3	distance	low	higher	berlin
19_12_17_100945.txt_02	4	salary	high	lower	ekonom
19_12_17_100945.txt_02	5	weight	high	lower	tygr
19_12_17_100945.txt_02	6	unemployment	low	higher	jihoËesk˝ kraj
19_12_17_100945.txt_02	7	price	low	higher	ökoda
19_12_17_100945.txt_02	8	days	low	higher	mars
19_12_17_100945.txt_02	9	population	high	lower	nÏmecko
19_12_17_100945.txt_02	10	length	high	lower	jakub
19_12_17_114220.txt_02	1	population	high	lower	Ëesk· republika
19_12_17_114220.txt_02	2	price	low	higher	bmw
19_12_17_114220.txt_02	3	distance	high	lower	vÌdeÚ
19_12_17_114220.txt_02	4	salary	low	higher	uklÌzeËka
19_12_17_114220.txt_02	5	age	high	lower	Babiö
19_12_17_114220.txt_02	6	unemployment	low	higher	St¯edoËesk˝
19_12_17_114220.txt_02	7	weight	low	higher	Makak
19_12_17_114220.txt_02	8	length	high	lower	Denisa
19_12_17_114220.txt_02	9	temperature	high	lower	leden
19_12_17_114220.txt_02	10	days	low	higher	Mars
19_12_17_125928.txt_02	1	price	low	higher	äkoda
19_12_17_125928.txt_02	2	age	low	higher	Dominik Feri
19_12_17_125928.txt_02	3	temperature	high	lower	b¯ezen
19_12_17_125928.txt_02	4	unemployment	low	higher	libereck˝
19_12_17_125928.txt_02	5	days	high	lower	ZemÏ
19_12_17_125928.txt_02	6	length	low	higher	VojtÏch
19_12_17_125928.txt_02	7	population	low	higher	»esk· republika
19_12_17_125928.txt_02	8	distance	low	higher	Bratislava
19_12_17_125928.txt_02	9	salary	high	lower	uËitel
19_12_17_125928.txt_02	10	weight	low	higher	delfÌn
19_12_17_144259.txt_02	1	salary	low	lower	UklÌzeËka
19_12_17_144259.txt_02	2	temperature	high	lower	KvÏten
19_12_17_144259.txt_02	3	days	low	higher	ZemÏ
